tweet_id,count,score,normalised,clarity
entity/text/news/tweet/38998,54,8.5,0.0801886792453,0.78757533867519436
entity/text/news/tweet/38974,41,4,0.0377358490566,0.86676276058364587
entity/text/news/tweet/38953,161,106,1,0.74819005592720877
entity/text/news/tweet/38945,38,-5.5,-0.0518867924528,0.83292673007256568
entity/text/news/tweet/38907,40,-15.5,-0.146226415094,0.86750200401062894
entity/text/news/tweet/38898,38,-11,-0.103773584906,0.77193023561704976
entity/text/news/tweet/38842,77,36,0.339622641509,0.84552868622649668
entity/text/news/tweet/38814,151,73.5,0.693396226415,0.88405136242050875
entity/text/news/tweet/38772,53,-10.5,-0.0990566037736,0.77743625807008432
entity/text/news/tweet/38706,64,-27,-0.254716981132,0.89629342422759339
entity/text/news/tweet/38683,78,-23.5,-0.221698113208,0.90463893765173387
entity/text/news/tweet/38619,69,12,0.11320754717,0.81705948797902817
entity/text/news/tweet/38617,168,85,0.801886792453,0.8660254037844386
