tweet_ID,more_novel,equally_novel,less_novel,irrelevant
entity/text/news/tweet/38766,28,139,104,3
entity/text/news/tweet/38767,52,204,74,23
entity/text/news/tweet/38645,68,209,68,7
entity/text/news/tweet/38820,65,216,92,14
entity/text/news/tweet/38826,78,222,62,11
entity/text/news/tweet/39005,23,36,83,71
entity/text/news/tweet/38908,93,229,38,3
entity/text/news/tweet/38939,62,195,111,13
entity/text/news/tweet/38775,119,197,46,11
entity/text/news/tweet/38794,96,194,68,19
entity/text/news/tweet/38874,134,194,28,4
entity/text/news/tweet/38955,31,204,130,12
entity/text/news/tweet/38591,102,227,36,14
entity/text/news/tweet/38599,65,197,86,13
entity/text/news/tweet/38598,128,214,23,18
entity/text/news/tweet/38678,82,216,61,3
entity/text/news/tweet/38778,32,189,135,16
entity/text/news/tweet/38739,116,205,27,1
entity/text/news/tweet/38670,61,205,104,13
entity/text/news/tweet/38994,113,201,49,6
entity/text/news/tweet/38650,13,187,144,22
entity/text/news/tweet/38731,18,181,161,12
entity/text/news/tweet/38895,60,184,105,28
entity/text/news/tweet/38818,109,203,32,6
entity/text/news/tweet/38752,94,222,39,11
entity/text/news/tweet/38756,115,222,26,3
entity/text/news/tweet/38805,95,211,67,16
entity/text/news/tweet/38580,63,190,92,17
entity/text/news/tweet/38940,91,209,62,18
entity/text/news/tweet/38585,57,168,110,50
