worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer
33798502,0,16,0,0,0,0,1,2.75,NONE,0.7499896842605763,0.565574096457386,1
33761260,15,6,15,0,0,0.416666666666667,0,4.24,2.33,0.6044478176821186,0.44885529825737724,0
33727304,10,14,10,2,0.0555555555555556,0.277777777777778,0,4.38,0,0.6776932468130563,0.5168885684080845,0
33565158,3,28,3,2,0.0555555555555556,0.0833333333333333,0,4.13,0,0.7387982892591207,0.5451743765802033,0
33271440,0,0,0,36,1,0,1,NONE,NONE,0.060285660216020526,0.05570652173913043,1
32424428,16,4,16,0,0,0.444444444444444,0,4.35,2.06,0.6160061086729549,0.45605357597053264,0
32292681,0,36,0,0,0,0,1,1,NONE,0.7475818469538787,0.7121428571428572,1
31906954,0,36,0,0,0,0,1,1,NONE,0.7460517534008798,0.6997282608695652,1
31861996,0,36,0,0,0,0,1,0.94,NONE,0.5468309948760638,0.4904891304347826,1
31827582,16,0,16,4,0.111111111111111,0.444444444444444,0,3.94,3.44,0.696038051067772,0.4960377955377956,0
31304413,18,0,18,0,0,0.5,0,1.33,1.33,0.7114658154029933,0.6306158252774794,0
31184650,0,36,0,0,0,0,1,1,NONE,0.7348326641719238,0.68104134599549,1
30901412,9,2,9,0,0,0.45,0,4,0,0.5707832151487809,0.5216231244123968,0
28513920,0,20,0,16,0.444444444444444,0,0,0.95,NONE,0.5070191230388522,0.46739130434782605,0
28103910,3,30,3,0,0,0.0833333333333333,0,1.15,1,0.732476664008702,0.6635692738633915,0
24449707,17,2,17,0,0,0.472222222222222,0,4.37,3.88,0.7704051387352782,0.5396257904012001,0
23503585,0,36,0,0,0,0,1,7.5,NONE,0.8414362559362702,0.5213364952630928,1
22166359,18,0,18,0,0,0.5,0,5,3.22,0.7314764046308464,0.5155941486772149,0
20312760,18,0,18,0,0,0.5,0,2,0,0.4644455926142821,0.4352766439909297,0
20113482,16,4,16,0,0,0.444444444444444,0,8.3,4.25,0.7978549340379237,0.523017242928401,0
20043586,10,12,10,0,0,0.3125,0,4.36,3.1,0.7047754192458056,0.5319262384370572,0
19913374,0,36,0,0,0,0,1,1,NONE,0.7475818469538787,0.7121428571428572,1
19294877,5,26,5,0,0,0.138888888888889,0,8.19,0,0.7719159045498396,0.5187583622278874,0
18990100,18,0,18,0,0,0.5,0,8.06,5.61,0.7858257232223936,0.5032966922206833,0
18634892,17,2,17,0,0,0.472222222222222,0,3.32,0,0.5601367957434649,0.47781244825945757,0
15848372,4,26,4,2,0.0555555555555556,0.111111111111111,0,4.37,4.75,0.8085459724050573,0.5472107737033115,0
14086483,3,30,3,0,0,0.0833333333333333,0,1.64,0.33,0.5356950548032756,0.44613151384955896,0
11382239,18,0,18,0,0,0.5,0,5.94,3.61,0.7831748840509299,0.5427501703567674,0
9653950,2,0,2,0,0,0.5,0,5.5,8.5,0.7790779707034006,0.48192791005291,0
8260660,5,26,5,0,0,0.138888888888889,0,3.03,0,0.6940825650436246,0.5313438668364381,0
6488338,9,18,9,0,0,0.25,0,6.96,4.78,0.8191363497289383,0.5254553421952587,0
3587109,0,36,0,0,0,0,1,1.72,NONE,0.7710526260293225,0.6407968155683326,1
