worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer,1and2,1or2_3or4or5,4and5,avg_irr50,avg_nov75
33761260,17,0,17,2,0.0555555555555556,0.472222222222222,0,4.24,2.12,0.4021757944775204,0.2469352014010508,1,1,0,0,0,0
33725995,0,20,0,0,0,0,1,1.6,NONE,0.7291945489560212,0.42538975501113585,0,0,0,0,0,0
33565158,0,18,0,18,0.5,0,0,3.89,NONE,0.5457675288525634,0.3146853146853147,0,0,0,0,0,0
33467170,11,14,11,0,0,0.305555555555556,0,3.56,0,0.566170465259326,0.32441471571906355,0,0,0,0,0,0
33057016,6,8,6,0,0,0.3,0,4.64,0.67,0.5997065064151265,0.35634743875278396,0,0,0,0,0,0
32987272,2,2,2,6,0.5,0.166666666666667,0,1.25,0.5,0.46388118804008194,0.2578397212543554,0,0,0,0,0,0
32916723,0,36,0,0,0,0,1,2.39,NONE,0.6748968171538257,0.3963210702341137,0,0,0,0,0,0
32352104,2,18,2,14,0.388888888888889,0.0555555555555556,0,1.05,1.5,0.6149169578803281,0.3607705779334501,0,0,0,0,0,0
32281591,7,10,7,0,0,0.291666666666667,0,6.06,2.57,0.5866991294838833,0.3493723849372385,0,0,0,0,0,0
31906954,0,20,0,0,0,0,1,2.05,NONE,0.7291945489560212,0.42538975501113585,0,0,0,0,0,0
31695021,14,4,14,4,0.111111111111111,0.388888888888889,0,4.67,2.43,0.48368580937243094,0.287215411558669,0,0,0,0,0,0
31345986,0,14,0,22,0.611111111111111,0,0,2.93,NONE,0.4483410154638394,0.26422018348623855,1,0,0,0,1,0
31304413,15,6,15,0,0,0.416666666666667,0,1.9,1.2,0.5104452027970932,0.29431438127090304,0,0,0,0,0,0
31184650,0,36,0,0,0,0,1,1.06,NONE,0.7358277584271353,0.4262589928057554,0,0,0,0,0,0
30901412,7,2,7,4,0.2,0.35,0,4.33,0,0.4947149829657871,0.29398663697104677,0,0,0,0,0,0
30326470,2,4,2,4,0.333333333333333,0.166666666666667,0,2.67,2.5,0.675400378102958,0.40327868852459015,0,0,0,0,0,0
29849805,15,4,15,2,0.0555555555555556,0.416666666666667,0,5,2.73,0.44432527498085483,0.28021015761821366,0,0,0,0,0,0
29688905,3,0,3,30,0.833333333333333,0.0833333333333333,0,1.33,0,0.33806034831518017,0.1978984238178634,1,1,0,0,0,0
29216801,0,36,0,0,0,0,1,1,NONE,0.7041025493698826,0.4080560420315236,0,0,0,0,0,0
29216689,0,20,0,0,0,0,1,1,NONE,0.7291945489560212,0.42538975501113585,0,0,0,0,0,0
29216552,0,20,0,0,0,0,1,1,NONE,0.7291945489560212,0.42538975501113585,0,0,0,0,0,0
29209955,0,20,0,0,0,0,1,1,NONE,0.7291945489560212,0.42538975501113585,0,0,0,0,0,0
29155723,3,24,3,6,0.166666666666667,0.0833333333333333,0,5,3,0.6515653484061772,0.38127090301003347,0,0,0,0,0,0
28884030,0,0,0,36,1,0,1,NONE,NONE,0.22774820472429727,0.1505016722408027,1,1,0,0,0,0
27934334,1,6,1,8,0.5,0.0625,0,4.86,0,0.564737590629241,0.3403693931398417,0,0,0,0,0,0
27753923,17,0,17,2,0.0555555555555556,0.472222222222222,0,1.12,0,0.43736287114139444,0.24247491638795987,0,0,0,0,0,0
25257275,4,28,4,0,0,0.111111111111111,0,1,1,0.6589880445379881,0.38353765323992994,0,0,0,0,0,0
24449707,17,2,17,0,0,0.472222222222222,0,3.79,2,0.4339941095249285,0.2525083612040134,0,0,0,0,0,0
23804661,6,18,6,6,0.166666666666667,0.166666666666667,0,3.08,2.83,0.6300604806558756,0.3595317725752508,0,0,0,0,0,0
23503585,8,20,8,0,0,0.222222222222222,0,7.18,6.88,0.6078860357295518,0.3377926421404682,0,0,0,0,0,0
22141613,0,0,0,12,1,0,1,NONE,NONE,0.3329800196646466,0.20905923344947736,1,1,0,0,0,0
20312760,7,0,7,6,0.3,0.35,0,1.57,0,0.39066720258999216,0.23385300668151449,1,1,0,0,0,0
