entity/text/news/tweet/38841,8,3.0,0.0769230769231
entity/text/news/tweet/38698,14,8.0,0.205128205128
entity/text/news/tweet/38667,38,7.5,0.192307692308
entity/text/news/tweet/38583,21,-0.5,-0.0128205128205
entity/text/news/tweet/38853,35,10.0,0.25641025641
entity/text/news/tweet/38616,41,8.5,0.217948717949
entity/text/news/tweet/38948,12,1.5,0.0384615384615
entity/text/news/tweet/38935,69,39.0,1.0
entity/text/news/tweet/38893,23,4.5,0.115384615385
entity/text/news/tweet/38797,64,-10.0,-0.25641025641
entity/text/news/tweet/38993,43,9.5,0.24358974359
entity/text/news/tweet/38708,17,3.5,0.0897435897436
entity/text/news/tweet/38897,19,-3.0,-0.0769230769231
entity/text/news/tweet/38984,19,9.5,0.24358974359
entity/text/news/tweet/38920,21,7.0,0.179487179487
entity/text/news/tweet/38914,27,2.0,0.0512820512821
entity/text/news/tweet/38784,27,4.0,0.102564102564
entity/text/news/tweet/38910,49,28.5,0.730769230769
entity/text/news/tweet/38789,68,34.0,0.871794871795
entity/text/news/tweet/38807,34,1.5,0.0384615384615
entity/text/news/tweet/38741,53,15.0,0.384615384615
