worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer,1and2,1or2_3or4or5,4and5,avg_irr50,avg_nov75
33903622,3,8,3,2,0.13,0.19,0,6.64,3,0.71,0.43,0,0,0,0,0,0
33793607,1,14,1,0,0,0.06,0,3.8,4,0.53,0.32,0,0,0,0,0,0
33721948,0,24,0,0,0,0,1,1,NONE,0.64,0.38,0,0,0,0,0,0
33565158,2,0,2,12,0.75,0.13,0,5,0,0.34,0.21,1,1,0,0,0,0
33535031,7,0,7,2,0.13,0.44,0,7.857142857142857,5,0.57,0.35,0,0,0,0,0,0
33500282,10,0,10,0,0,0.5,0,6.6,0,0.52,0.33,0,0,0,0,0,0
33467170,1,2,1,2,0.33,0.17,0,1,0,0.41,0.25,1,1,0,0,0,0
33271440,0,0,0,24,1,0,1,NONE,NONE,0.19,0.12,1,1,0,0,0,0
33057016,0,0,0,16,1,0,1,NONE,NONE,0.22,0.13,1,1,0,0,0,0
32840743,5,6,5,0,0,0.31,0,1,1,0.72,0.43,0,0,0,0,0,0
32633078,0,0,0,6,1,0,1,NONE,NONE,0.2,0.12,1,1,0,0,0,0
32352104,6,12,6,0,0,0.25,0,1.06,1,0.74,0.44,0,0,0,0,0,0
32338429,0,22,0,2,0.08,0,0,1.82,NONE,0.71,0.42,0,0,0,0,0,0
32306192,0,8,0,0,0,0,1,1,NONE,0.66,0.41,0,0,0,0,0,0
32123974,7,0,7,0,0,0.5,0,5.86,3.14,0.44,0.26,0,0,0,0,0,0
31304413,2,2,2,0,0,0.33,0,2,1,0.13,0.08,1,1,0,0,0,0
31184650,0,14,0,2,0.13,0,0,1.14,NONE,0.66,0.39,0,0,0,0,0,0
30901412,4,8,4,0,0,0.25,0,2.83,0.75,0.81,0.49,0,0,0,0,0,0
29849805,10,2,10,2,0.08,0.42,0,6.75,3.5,0.54,0.33,0,0,0,0,0,0
29688905,6,10,6,2,0.08,0.25,0,1.25,1,0.6,0.37,0,0,0,0,0,0
29248520,2,10,2,0,0,0.14,0,5.08,2,0.66,0.39,0,0,0,0,0,0
29216801,0,14,0,0,0,0,1,1,NONE,0.61,0.36,0,0,0,0,0,0
29209955,0,16,0,0,0,0,1,1.13,NONE,0.56,0.34,0,0,0,0,0,0
29155723,9,6,9,0,0,0.38,0,8.4,4.78,0.71,0.43,0,0,0,0,0,0
28884030,0,0,0,24,1,0,1,NONE,NONE,0.19,0.11,1,1,0,0,0,0
28351359,12,0,12,0,0,0.5,0,3.92,0,0.58,0.37,0,0,0,0,0,0
28103910,2,16,2,2,0.09,0.09,0,1.17,1,0.7,0.42,0,0,0,0,0,0
27934334,6,12,6,0,0,0.25,0,6.44,0,0.77,0.46,0,0,0,0,0,0
27753923,12,0,12,0,0,0.5,0,2.08,0,0.59,0.37,0,0,0,0,0,0
27042527,9,6,9,0,0,0.38,0,8,5.33,0.6,0.37,0,0,0,0,0,0
25745953,10,0,10,0,0,0.5,0,7.4,0,0.62,0.39,0,0,0,0,0,0
25257275,1,22,1,0,0,0.04,0,1,1,0.68,0.41,0,0,0,0,0,0
24971636,4,6,4,2,0.13,0.25,0,7.2,2.5,0.47,0.29,0,0,0,0,0,0
24449707,11,2,11,0,0,0.46,0,4.46,2.09,0.6,0.37,0,0,0,0,0,0
23503585,4,14,4,2,0.08,0.17,0,7.78,4.75,0.77,0.46,0,0,0,0,0,0
22388850,8,6,8,0,0,0.36,0,1.5,0,0.72,0.44,0,0,0,0,0,0
22222103,0,14,0,2,0.13,0,0,2.07,NONE,0.66,0.39,0,0,0,0,0,0
22166359,7,2,7,0,0,0.44,0,3.11,3,0.69,0.43,0,0,0,0,0,0
22141613,0,0,0,24,1,0,1,NONE,NONE,0.21,0.12,1,1,0,0,0,0
21665495,0,24,0,0,0,0,1,1.04,NONE,0.6,0.36,0,0,0,0,0,0
21490235,9,6,9,0,0,0.38,0,1.53,1.11,0.57,0.35,0,0,0,0,0,0
20312760,12,0,12,0,0,0.5,0,2.42,0,0.58,0.36,0,0,0,0,0,0
20113482,7,6,7,4,0.17,0.29,0,8.23,2,0.66,0.41,0,0,0,0,0,0
19913374,0,22,0,0,0,0,1,1,NONE,0.59,0.35,0,0,0,0,0,0
19302668,11,0,11,2,0.08,0.46,0,1,1,0.56,0.33,0,0,0,0,0,0
19294877,5,12,5,2,0.08,0.21,0,8.71,0,0.78,0.46,0,0,0,0,0,0
19112246,8,2,8,0,0,0.44,0,5.3,0.5,0.71,0.43,0,0,0,0,0,0
17950689,0,24,0,0,0,0,1,1.71,NONE,0.66,0.39,0,0,0,0,0,0
16101132,0,20,0,4,0.17,0,0,1.5,NONE,0.6,0.36,0,0,0,0,0,0
15577915,7,0,7,0,0,0.5,0,4.29,0,0.47,0.28,0,0,0,0,0,0
14353703,2,0,2,2,0.33,0.33,0,3.5,0,0.52,0.32,0,0,0,0,0,0
13581319,12,0,12,0,0,0.5,0,5.08,0,0.48,0.29,0,0,0,0,0,0
9653950,2,10,2,2,0.13,0.13,0,7.75,4.5,0.75,0.45,0,0,0,0,0,0
7051387,2,2,2,0,0,0.33,0,4.75,1.5,0.73,0.44,0,0,0,0,0,0
6348996,8,0,8,0,0,0.5,0,4.25,2,0.32,0.19,1,1,0,0,0,0
6344072,5,10,5,4,0.17,0.21,0,2.67,2,0.69,0.42,0,0,0,0,0,0
6309240,4,6,4,2,0.13,0.25,0,7.9,3,0.66,0.39,0,0,0,0,0,0
4711962,0,24,0,0,0,0,1,1,NONE,0.64,0.38,0,0,0,0,0,0
4688131,7,2,7,2,0.11,0.39,0,4.22,0,0.43,0.27,0,0,0,0,0,0
3587109,0,20,0,4,0.17,0,0,2.35,NONE,0.67,0.39,0,0,0,0,0,0
2803291,3,0,3,0,0,0.5,0,4.67,2.33,0.73,0.44,0,0,0,0,0,0
2143114,8,0,8,0,0,0.5,0,1,0,0.6,0.37,0,0,0,0,0,0
