entity/text/news/tweet/38598,330,,,
entity/text/news/tweet/38756,324,,,
entity/text/news/tweet/38739,312,,,
entity/text/news/tweet/38591,311,,,
entity/text/news/tweet/38705,309,,,
entity/text/news/tweet/38908,309,,,
entity/text/news/tweet/38874,307,,,
entity/text/news/tweet/38770,293,,,
entity/text/news/tweet/38818,287,,,
entity/text/news/tweet/38775,283,,,
entity/text/news/tweet/38781,276,,,
entity/text/news/tweet/38806,275,,,
entity/text/news/tweet/38752,266,,,
entity/text/news/tweet/38994,265,,,
entity/text/news/tweet/38871,263,,,
entity/text/news/tweet/38691,258,,,
entity/text/news/tweet/38678,255,,,
entity/text/news/tweet/38826,253,,,
entity/text/news/tweet/38805,243,,,
entity/text/news/tweet/38940,240,,,
entity/text/news/tweet/38846,237,,,
entity/text/news/tweet/38794,235,,,
entity/text/news/tweet/38935,235,,,
entity/text/news/tweet/38870,234,,,
entity/text/news/tweet/38966,226,,,
entity/text/news/tweet/38698,222,,,
entity/text/news/tweet/38645,220,,,
entity/text/news/tweet/38695,207,,,
entity/text/news/tweet/38733,202,,,
entity/text/news/tweet/38750,201,,,
entity/text/news/tweet/38910,199,,,
entity/text/news/tweet/38820,198,,,
entity/text/news/tweet/38599,196,,,
entity/text/news/tweet/38923,191,,,
entity/text/news/tweet/38784,189,,,
entity/text/news/tweet/38676,188,,,
entity/text/news/tweet/38853,188,,,
entity/text/news/tweet/38876,181,,,
entity/text/news/tweet/38993,179,,,
entity/text/news/tweet/38588,175,,,
entity/text/news/tweet/38741,175,,,
entity/text/news/tweet/38767,175,,,
entity/text/news/tweet/38612,174,,,
entity/text/news/tweet/38708,172,,,
entity/text/news/tweet/38912,169,,,
entity/text/news/tweet/38670,167,,,
entity/text/news/tweet/38789,167,,,
entity/text/news/tweet/38841,167,,,
entity/text/news/tweet/38979,166,,,
entity/text/news/tweet/38758,164,,,
entity/text/news/tweet/38901,159,,,
entity/text/news/tweet/38939,151,,,
entity/text/news/tweet/38580,150,,,
entity/text/news/tweet/38628,144,,,
entity/text/news/tweet/38867,142,,,
entity/text/news/tweet/38897,141,,,
entity/text/news/tweet/38953,141,,,
entity/text/news/tweet/38879,139,,,
entity/text/news/tweet/38893,139,,,
entity/text/news/tweet/38895,138,,,
entity/text/news/tweet/38661,135,,,
entity/text/news/tweet/38667,130,,,
entity/text/news/tweet/38807,126,,,
entity/text/news/tweet/38585,123,,,
entity/text/news/tweet/38974,123,,,
entity/text/news/tweet/38984,123,,,
entity/text/news/tweet/38663,122,,,
entity/text/news/tweet/38693,121,,,
entity/text/news/tweet/38616,118,,,
entity/text/news/tweet/38649,118,,,
entity/text/news/tweet/38714,117,,,
entity/text/news/tweet/38977,115,,,
entity/text/news/tweet/38719,114,,,
entity/text/news/tweet/38837,114,,,
entity/text/news/tweet/38955,110,,,
entity/text/news/tweet/38640,109,,,
entity/text/news/tweet/38842,109,,,
entity/text/news/tweet/38814,108,,,
entity/text/news/tweet/38997,105,,,
entity/text/news/tweet/38920,101,,,
entity/text/news/tweet/38998,100,,,
entity/text/news/tweet/38722,97,,,
entity/text/news/tweet/38975,95,,,
entity/text/news/tweet/38637,93,,,
entity/text/news/tweet/38621,90,,,
entity/text/news/tweet/38677,90,,,
entity/text/news/tweet/38797,89,,,
entity/text/news/tweet/38862,89,,,
entity/text/news/tweet/38619,87,,,
entity/text/news/tweet/38778,87,,,
entity/text/news/tweet/38654,82,,,
entity/text/news/tweet/38755,82,,,
entity/text/news/tweet/38914,79,,,
entity/text/news/tweet/38821,78,,,
entity/text/news/tweet/38766,75,,,
entity/text/news/tweet/38776,70,,,
entity/text/news/tweet/38583,63,,,
entity/text/news/tweet/38771,63,,,
entity/text/news/tweet/38772,60,,,
entity/text/news/tweet/38626,58,,,
entity/text/news/tweet/38650,56,,,
entity/text/news/tweet/38664,54,,,
entity/text/news/tweet/38764,53,,,
entity/text/news/tweet/38907,53,,,
entity/text/news/tweet/38931,53,,,
entity/text/news/tweet/38632,49,,,
entity/text/news/tweet/38898,49,,,
entity/text/news/tweet/38635,46,,,
entity/text/news/tweet/38933,44,,,
entity/text/news/tweet/38687,38,,,
entity/text/news/tweet/38779,37,,,
entity/text/news/tweet/38731,36,,,
entity/text/news/tweet/38927,27,,,
entity/text/news/tweet/38804,25,,,
entity/text/news/tweet/38594,22,,,
entity/text/news/tweet/38948,21,,,
entity/text/news/tweet/38604,17,,,
entity/text/news/tweet/38683,11,,,
entity/text/news/tweet/38961,7,,,
entity/text/news/tweet/38932,4,,,
entity/text/news/tweet/38617,0,,,
entity/text/news/tweet/39005,-3,,,
entity/text/news/tweet/38729,-8,,,
entity/text/news/tweet/38945,-14,,,
entity/text/news/tweet/38786,-16,,,
entity/text/news/tweet/38706,-24,,,
