entity/text/news/tweet/38604,17
entity/text/news/tweet/38626,58
entity/text/news/tweet/38628,144
entity/text/news/tweet/38632,49
entity/text/news/tweet/38640,109
entity/text/news/tweet/38661,135
entity/text/news/tweet/38663,122
entity/text/news/tweet/38676,188
entity/text/news/tweet/38677,90
entity/text/news/tweet/38687,38
entity/text/news/tweet/38750,201
entity/text/news/tweet/38758,164
entity/text/news/tweet/38776,70
entity/text/news/tweet/38786,-16
entity/text/news/tweet/38862,89
entity/text/news/tweet/38867,142
entity/text/news/tweet/38870,234
entity/text/news/tweet/38876,181
entity/text/news/tweet/38879,139
entity/text/news/tweet/38927,27
entity/text/news/tweet/38933,44
entity/text/news/tweet/38961,7
