label,count,positive,negative
Cap,3,0.0,0.0
Greenland,3,0.0,0.0
whalers,3,0.0,0.0
Indonesia,3,0.0,0.0
Boston,3,0.0,0.0
major,3,0.0,0.0
biomass,3,0.0,0.0
bee,3,0.0,0.0
tall tales,3,0.0,0.0
eet4T,3,0.0,0.0
stands,3,0.0,0.0
Vessel,3,0.0,0.0
Antarctica,3,0.0,0.125
Whitby,3,0.0,0.0
Buzzards Bay,3,0.0,0.0
nature,3,0.5,0.0
Financial,3,0.25,0.0
OPS,3,0.0,0.0
@ifawuk,3,0.0,0.0
firm,3,0.0,0.0
air,3,0.0,0.0
Alaska Whale Stew,3,0.0,0.0
Saint+Vincent,3,0.0,0.0
whaling boat,3,0.0,0.0
left,3,0.0,0.0
death,3,0.0,0.0
Wine,3,0.0,0.0
continue,3,0.0,0.0
+%23ShutTaiji,3,0.0,0.0
tsunami,3,0.0,0.5
eating,3,0.0,0.0
Romania,3,0.0,0.0
melbourne,3,0.0,0.0
whaler,3,0.0,0.0
-++%2,3,0.0,0.0
human history,3,0.0,0.0
called,3,0.25,0.0
ship,3,0.0,0.0
ORCA,3,0.0,0.0
under Fire,3,0.0,0.0
Fire,3,0.0,0.0
focus,2,0.125,0.0
votes,2,0.125,0.0
factories,2,0.0,0.0
stationery,2,0.0,0.0
global,2,0.0,0.0
op+kil,2,0.0,0.0
word,2,0.0,0.0
recreation,2,0.25,0.0
clouds,2,0.0,0.0
feasibility,2,0.375,0.25
imported,2,0.0,0.0
conduct,2,0.25,0.0
net,2,0.0,0.0
health.,2,0.0,0.0
zone,2,0.25,0.25
Great Whale,2,0.0,0.0
Whalers,2,0.0,0.0
uniformity,2,0.0,0.0
humpback whales,2,0.0,0.0
Bay,2,0.0,0.0
Iraq war,2,0.0,0.0
today,2,0.125,0.0
Wince,2,0.0,0.25
40SavetheDolph,2,0.0,0.0
dodo,2,0.0,0.125
era,2,0.0,0.0
numbers,2,0.0,0.0
landlocked,2,0.0,0.0
law,2,0.0,0.0
guys,2,0.0,0.0
Captain Paul Watson,2,0.0,0.0
coat,2,0.0,0.0
YAKUZA,2,0.0,0.0
Deep,2,0.0,0.0
disembowel,2,0.0,0.0
23W,2,0.0,0.0
marine life,2,0.0,0.0
NOAA,2,0.0,0.0
