entity/text/news/tweet/38617,127,,,
entity/text/news/tweet/38619,29,,,
entity/text/news/tweet/38619,58,,,
entity/text/news/tweet/38683,-7,,,
entity/text/news/tweet/38683,18,,,
entity/text/news/tweet/38706,-14,,,
entity/text/news/tweet/38706,-10,,,
entity/text/news/tweet/38772,1,,,
entity/text/news/tweet/38772,59,,,
entity/text/news/tweet/38814,108,,,
entity/text/news/tweet/38842,56,,,
entity/text/news/tweet/38842,53,,,
entity/text/news/tweet/38898,-2,,,
entity/text/news/tweet/38898,51,,,
entity/text/news/tweet/38907,-7,,,
entity/text/news/tweet/38907,60,,,
entity/text/news/tweet/38945,-2,,,
entity/text/news/tweet/38945,-12,,,
entity/text/news/tweet/38953,141,,,
entity/text/news/tweet/38974,15,,,
entity/text/news/tweet/38974,108,,,
entity/text/news/tweet/38998,23,,,
entity/text/news/tweet/38998,77,,,
