worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,Novelty_Cosine,Novelty_Worker_Disagreement,spammer,1and2,1or2_3or4or5,4and5,avg_irr50,avg_nov75
34053021,5,4,5,2,0.125,0.3125,0,0.5569820318871644,0.32657657657657657,0,0,0,0,0,0
33903622,1,24,1,2,0.0714285714285714,0.0357142857142857,0,0.7088176908681385,0.42484662576687116,0,0,0,0,0,0
33761260,10,2,10,6,0.214285714285714,0.357142857142857,0,0.3193991818419961,0.20032051282051283,1,1,0,0,0,0
33725995,0,20,0,8,0.285714285714286,0,0,0.63602310524555,0.37398373983739835,0,0,0,0,0,0
33721948,0,22,0,6,0.214285714285714,0,0,0.6944636764484181,0.4065040650406504,0,0,0,0,0,0
33565158,7,12,7,2,0.0714285714285714,0.25,0,0.5557730676306895,0.3317307692307692,0,0,0,0,0,0
33538351,7,14,7,0,0,0.25,0,0.541950291322748,0.32536764705882354,0,0,0,0,0,0
33500282,13,0,13,2,0.0714285714285714,0.464285714285714,0,0.4127861528296481,0.2404870624048706,1,1,0,0,0,0
33467170,9,4,9,6,0.214285714285714,0.321428571428571,0,0.6046750874829985,0.3615023474178404,0,0,0,0,0,0
33453357,5,4,5,2,0.125,0.3125,0,0.5717608557473811,0.33191489361702126,0,0,0,0,0,0
33294824,8,12,8,0,0,0.285714285714286,0,0.47332855444508776,0.2988313856427379,0,0,0,0,0,0
33271440,0,0,0,20,1,0,1,0.17687908419890488,0.10039370078740158,1,1,0,0,0,0
32352104,1,22,1,4,0.142857142857143,0.0357142857142857,0,0.7260647966186606,0.4267515923566879,0,0,0,0,0,0
32338429,0,28,0,0,0,0,1,0.6796031408030025,0.3939393939393939,0,0,0,0,0,0
32053642,12,4,12,0,0,0.428571428571429,0,0.3625976756681557,0.2112676056338028,1,1,0,0,0,0
31695021,5,0,5,2,0.166666666666667,0.416666666666667,0,0.5137797479792825,0.29205607476635514,0,0,0,0,0,0
31670127,10,0,10,0,0,0.5,0,0.36270503028777923,0.21850393700787402,1,1,0,0,0,0
31443509,2,12,2,0,0,0.125,0,0.6623440345124109,0.3774403470715835,0,0,0,0,0,0
31304413,1,18,1,8,0.285714285714286,0.0357142857142857,0,0.6837211142536426,0.407108239095315,0,0,0,0,0,0
31184650,0,18,0,2,0.1,0,0,0.6925876926296296,0.3956692913385827,0,0,0,0,0,0
31065274,6,2,6,2,0.125,0.375,0,0.5973369052877864,0.3638297872340426,0,0,0,0,0,0
30901412,8,10,8,2,0.0714285714285714,0.285714285714286,0,0.5560309987429798,0.32094594594594594,0,0,0,0,0,0
30137403,10,6,10,2,0.0714285714285714,0.357142857142857,0,0.5624088269535465,0.34788732394366195,0,0,0,0,0,0
29849805,10,4,10,4,0.142857142857143,0.357142857142857,0,0.3817346029504152,0.22847682119205298,1,1,0,0,0,0
29209955,0,4,0,0,0,0,1,0.6818263055950611,0.3902439024390244,0,0,0,0,0,0
28790780,0,28,0,0,0,0,1,0.6644865131101382,0.38847858197932056,0,0,0,0,0,0
28103910,1,14,1,0,0,0.0625,0,0.6167136297007123,0.35901926444833626,0,0,0,0,0,0
27934334,9,6,9,4,0.142857142857143,0.321428571428571,0,0.5803548484754745,0.35668789808917195,0,0,0,0,0,0
27753923,13,0,13,2,0.0714285714285714,0.464285714285714,0,0.48771881551077967,0.29542097488921715,0,0,0,0,0,0
25257275,3,16,3,6,0.214285714285714,0.107142857142857,0,0.6641474253704907,0.38810641627543035,0,0,0,0,0,0
24449707,10,6,10,2,0.0714285714285714,0.357142857142857,0,0.5409704349019439,0.3181126331811263,0,0,0,0,0,0
23503585,4,8,4,0,0,0.25,0,0.5465035096439012,0.31019522776572667,0,0,0,0,0,0
22141613,0,0,0,20,1,0,1,0.17687908419890488,0.10039370078740158,1,1,0,0,0,0
21963184,9,8,9,2,0.0714285714285714,0.321428571428571,0,0.6310710677529707,0.3766617429837518,0,0,0,0,0,0
21665495,1,18,1,0,0,0.05,0,0.6748162366282918,0.38779527559055116,0,0,0,0,0,0
21490235,7,10,7,4,0.142857142857143,0.25,0,0.6247697081916317,0.3678343949044586,0,0,0,0,0,0
20312760,12,0,12,4,0.142857142857143,0.428571428571429,0,0.42512138999430416,0.2541856925418569,0,0,0,0,0,0
20113482,4,14,4,6,0.214285714285714,0.142857142857143,0,0.6426636680347818,0.3683304647160069,0,0,0,0,0,0
