worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer
34139667,13,6,13,4,0.111111111111111,0.361111111111111,0,6.05,0,0.641701968157416,0.41499121608432565,0
33798502,0,34,0,2,0.0555555555555556,0,0,1.74,NONE,0.7062066009797023,0.48983527939949956,0
33761260,17,2,17,0,0,0.472222222222222,0,3.21,1.65,0.6352485754219834,0.4179933779402635,0
33397209,0,36,0,0,0,0,1,1,NONE,0.8218646133835762,0.6737385321100917,1
33294824,0,4,0,0,0,0,1,1.5,NONE,0.7395760159137696,0.5324612403100775,1
33230986,0,4,0,0,0,0,1,1,NONE,0.8507949248230471,0.7020348837209303,1
33115750,12,12,12,0,0,0.333333333333333,0,5.75,4.25,0.7010677639005565,0.41388937740027976,0
33081699,0,36,0,0,0,0,1,1,NONE,0.8346501524686364,0.6852064220183487,1
32352104,1,4,1,30,0.833333333333333,0.0277777777777778,0,1,1,0.3912559827180988,0.34288990825688076,1
32338429,0,36,0,0,0,0,1,1.03,NONE,0.8346975313986225,0.6714449541284404,1
32292681,0,36,0,0,0,0,1,1,NONE,0.8346501524686364,0.6852064220183487,1
32053642,2,0,2,0,0,0.5,0,5,3.5,0.6505540685375512,0.40389876880984943,0
31906954,0,36,0,0,0,0,1,1,NONE,0.8432513539791842,0.6920871559633027,1
31827582,17,0,17,2,0.0555555555555556,0.472222222222222,0,1.76,1.76,0.6911582058536335,0.48733071210135426,0
31695021,2,2,2,2,0.25,0.25,0,6.25,3,0.6585478374660543,0.40993834409864943,0
31613324,0,2,0,2,0.5,0,0,1,NONE,0.5102069251263834,0.4273255813953488,0
31304413,1,0,1,2,0.5,0.25,0,2,1,0.5580361853047027,0.4648255813953489,0
31256687,0,36,0,0,0,0,1,1,NONE,0.7898025635432672,0.6462155963302753,1
30901412,18,0,18,0,0,0.5,0,2.61,0,0.6291829591321239,0.4516612434280893,0
30782237,5,26,5,0,0,0.138888888888889,0,1.1,1,0.8233925930330915,0.6722640891218873,0
29096504,0,14,0,22,0.611111111111111,0,0,2.14,NONE,0.63443868748935,0.4823990229953532,0
28755767,7,2,7,20,0.555555555555556,0.194444444444444,0,3,0,0.5759814344784311,0.4269323394495414,0
28513920,0,24,0,12,0.333333333333333,0,0,1,NONE,0.6324243303062828,0.5263761467889908,0
28351359,18,0,18,0,0,0.5,0,1.83,0,0.5902812314557062,0.46208353452438433,0
28103910,1,20,1,14,0.388888888888889,0.0277777777777778,0,1.05,1,0.7637657953716848,0.633519003931848,0
27934334,5,6,5,20,0.555555555555556,0.138888888888889,0,6.36,0,0.5706132518309397,0.37485645634400544,1
27753923,2,0,2,0,0,0.5,0,1,1,0.7257061075166812,0.6308139534883721,0
25257275,0,4,0,0,0,0,1,1,NONE,0.8507949248230471,0.7020348837209303,1
24449707,2,0,2,0,0,0.5,0,3.5,2.5,0.659167700828583,0.43556201550387597,0
21875134,8,2,8,18,0.5,0.222222222222222,0,6,4,0.5635976726643932,0.36068683362261345,1
21801865,0,16,0,20,0.555555555555556,0,0,1,NONE,0.6056012241122957,0.48050458715596334,0
21490235,12,12,12,0,0,0.333333333333333,0,1.13,1,0.7440125498985594,0.6147935779816514,0
20113482,1,14,1,20,0.555555555555556,0.0277777777777778,0,7.53,3,0.636045867619769,0.3924359124817585,1
19913374,0,4,0,0,0,0,1,1,NONE,0.8507949248230471,0.7020348837209303,1
18990100,2,0,2,0,0,0.5,0,6.5,4,0.6621192879588981,0.40690753045404204,0
18960682,1,0,1,2,0.5,0.25,0,9,6,0.5009837853381254,0.31284199726402184,1
18666417,7,0,7,22,0.611111111111111,0.194444444444444,0,7.14,0,0.4977298004238396,0.32867185239400176,1
17950689,0,36,0,0,0,0,1,1.17,NONE,0.8304658148941241,0.6806192660550459,1
15577915,2,0,2,0,0,0.5,0,1.5,0,0.5483919970358031,0.44854651162790693,0
13581319,18,0,18,0,0,0.5,0,1.56,0,0.6080511062243635,0.48276195074843065,0
11382239,10,2,10,14,0.388888888888889,0.277777777777778,0,4.17,2.5,0.6280825080767595,0.42230014506390656,0
4711962,0,36,0,0,0,0,1,1,NONE,0.8346501524686364,0.6852064220183487,1
3587109,0,36,0,0,0,0,1,1.08,NONE,0.8415604644506894,0.6720101572739188,1
2143114,2,0,2,0,0,0.5,0,1,0,0.5974605054152664,0.5072674418604651,0
