worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,Novelty_Cosine,Novelty_Worker_Disagreement,spammer
33939124,1,12,1,2,0.125,0.0625,0,0.7636018581557460,0.48045834825731000,0
33903622,0,14,0,2,0.125,0,0,0.7886127217194790,0.5121139379018140,0
33793607,0,14,0,2,0.125,0,0,0.7843154335840860,0.5421345743819490,0
33761260,8,4,8,4,0.166666666666667,0.333333333333333,0,0.6645439174941990,0.5126340657151630,0
33727304,3,8,3,2,0.125,0.1875,0,0.7348488957724850,0.52789307056815000,0
33725995,0,10,0,0,0,0,1,0.67310761859704800,0.50601723585056900,1
33721948,0,10,0,6,0.375,0,0,0.7143509422912960,0.6392868135250410,0
33565158,6,2,6,2,0.125,0.375,0,0.6143031294504810,0.48704803596537800,0
33538351,5,6,5,0,0,0.3125,0,0.6396371617041570,0.44771754626597400,0
33500282,6,0,6,4,0.25,0.375,0,0.6425594221331830,0.4446080475074350,0
33467170,1,14,1,12,0.428571428571429,0.0357142857142857,0,0.7040244046210190,0.6154433880958160,0
33453357,5,6,5,0,0,0.3125,0,0.598477069110072,0.4747009785012110,0
33294824,6,4,6,0,0,0.375,0,0.6267038808448040,0.49462048858351800,0
33057016,0,12,0,4,0.25,0,0,0.7724297829797710,0.49698969497320200,0
32987272,0,14,0,2,0.125,0,0,0.737873848741390,0.671670175387974,0
32352104,3,12,3,4,0.181818181818182,0.136363636363636,0,0.744254370563385,0.6753812636165580,0
32338429,0,20,0,0,0,0,1,0.7093375378762920,0.5909229724218010,1
32053642,14,0,14,0,0,0.5,0,0.6288264571935940,0.39454212455523300,0
31613324,0,8,0,8,0.5,0,0,0.6463420996640310,0.49188197795641200,0
31304413,6,12,6,4,0.142857142857143,0.214285714285714,0,0.6869509307231270,0.5724187638228900,0
31184650,0,14,0,2,0.125,0,0,0.7463449647224340,0.6885245901639340,0
31065274,4,4,4,4,0.25,0.25,0,0.7454815442627600,0.4863648528935330,0
30901412,4,4,4,4,0.25,0.25,0,0.6217887734630630,0.47790532752240400,0
30137403,1,4,1,0,0,0.166666666666667,0,0.7731540728656770,0.48008084072314300,0
29849805,11,4,11,2,0.0714285714285714,0.392857142857143,0,0.7731809314845980,0.5245410716414690,0
29688905,1,2,1,0,0,0.25,0,0.7368231948351280,0.6609195402298850,0
29248520,0,4,0,0,0,0,1,0.8072288457327400,0.49333964646464600,1
29155723,0,12,0,4,0.25,0,0,0.7796709754938500,0.50436311096564400,0
29096504,0,12,0,4,0.25,0,0,0.7471742471087130,0.56879462279995200,0
28884030,0,0,0,16,1,0,1,0.2748825715767560,0.25000000000000000,1
28103910,2,12,2,0,0,0.125,0,0.6899983605234920,0.6113266893815520,0
27934334,4,10,4,4,0.181818181818182,0.181818181818182,0,0.7341220349733960,0.48599223673826400,0
27753923,6,2,6,2,0.125,0.375,0,0.56101547313874200,0.50709644570885800,0
27042527,0,4,0,0,0,0,1,0.7943260755173840,0.4925113200975270,1
25257275,1,14,1,12,0.428571428571429,0.0357142857142857,0,0.7025667174124400,0.6313387423935090,0
24449707,6,2,6,2,0.125,0.375,0,0.7220079456754960,0.4634060252678120,0
23503585,3,8,3,2,0.125,0.1875,0,0.8037467090553250,0.48511410314276300,0
22535866,8,0,8,0,0,0.5,0,0.5921323961160370,0.5353185595567870,0
22222103,0,10,0,6,0.375,0,0,0.7012351403691830,0.5394474107236190,0
22141613,0,0,0,16,1,0,1,0.22896471212227800,0.21384039900249400,1
21665495,0,16,0,0,0,0,1,0.6798662261724680,0.6172069825436410,1
21490235,7,8,7,6,0.214285714285714,0.25,0,0.6438756655229970,0.5458212948011300,0
20312760,7,0,7,2,0.125,0.4375,0,0.5190561201082770,0.4552038239538240,0
20113482,9,8,9,2,0.0714285714285714,0.321428571428571,0,0.7566649143787500,0.4699722654205740,0
20043586,4,2,4,6,0.375,0.25,0,0.6738095723503170,0.48196728108492800,0
19302668,9,0,9,2,0.1,0.45,0,0.6923551919835700,0.6048297149499110,0
19294877,4,6,4,2,0.125,0.25,0,0.71583385560253,0.48190085792624400,0
18990100,4,2,4,6,0.375,0.25,0,0.7049998739571230,0.4382017758717610,0
18672993,0,14,0,2,0.125,0,0,0.7710022739252240,0.6021149831277180,0
17950689,0,16,0,4,0.2,0,0,0.6893113212964520,0.51914807752733400,0
16101132,1,0,1,14,0.875,0.0625,0,0.3243682179922040,0.3121085372960370,1
15577915,11,0,11,4,0.153846153846154,0.423076923076923,0,0.5940000597656450,0.4542961385379100,0
13581319,13,0,13,2,0.0714285714285714,0.464285714285714,0,0.5992602996536250,0.4557862382470080,0
9653950,1,12,1,2,0.125,0.0625,0,0.8152235425983320,0.49367690728227500,0
7051387,2,2,2,2,0.25,0.25,0,0.7847278227296790,0.50001067462443700,0
6344072,0,12,0,4,0.25,0,0,0.7795117660858760,0.5782290857313790,0
4711962,0,28,0,0,0,0,1,0.7162983237110770,0.6227087576374750,1
4688131,7,0,7,2,0.125,0.4375,0,0.6159665106276220,0.4942631902434550,0
3587109,0,12,0,4,0.25,0,0,0.7570781855450800,0.5910818713450290,0
2143114,8,0,8,0,0,0.5,0,0.5750695677900490,0.5442643391521200,0
