_unit_id,_id,_worker_id,clickedforval,ev0a,ev0b,ev1a,ev1b,ev2a,ev2b,ev3a,ev3b,ev4a,ev4b,ev5a,ev5b,ev6a,ev6b,ev7a,ev7b,ev8a,ev8b,forvalidation,selectedforval,tweet1irrelevant,tweet1isgreyed,tweet1novel,tweet2irrelevant,tweet2isgreyed,tweet2novel,tweetsequal,ptid1,ptid2,seedindex1,seedindex2,text1,text2
775702925,1717394099,33467170,true,,1,,2,,6,,7,,,,,,,,,,,validated,true,false,false,false,false,false,true,false,entity/text/news/tweet/38818,entity/text/news/tweet/38994,1203tid014,1203tid026,"The ""Southern Ocean Whale Sanctuary"" is an area designated as a ""no hunt zone"" ONLY AFTER the IWC whaling moratorium is lifted. #Tweet4Taiji",World’s whaling slaughter last century = 3 million  
775702925,1717396954,30901412,true,,1,,2,,6,,7,,,,,,,,,,,validated,true,false,false,false,false,false,true,false,entity/text/news/tweet/38818,entity/text/news/tweet/38994,1203tid014,1203tid026,"The ""Southern Ocean Whale Sanctuary"" is an area designated as a ""no hunt zone"" ONLY AFTER the IWC whaling moratorium is lifted. #Tweet4Taiji",World’s whaling slaughter last century = 3 million  
775702925,1717397013,27934334,true,3,1,4,0,11,2,12,7,13,6,15,,19,,18,,21,,validated,true,false,false,false,false,false,false,true,entity/text/news/tweet/38818,entity/text/news/tweet/38994,1203tid014,1203tid026,"The ""Southern Ocean Whale Sanctuary"" is an area designated as a ""no hunt zone"" ONLY AFTER the IWC whaling moratorium is lifted. #Tweet4Taiji",World’s whaling slaughter last century = 3 million  
775702925,1717403059,23503585,true,3,0,4,1,11,2,12,3,13,4,15,5,18,6,19,7,21,,validated,true,false,false,false,false,false,false,true,entity/text/news/tweet/38818,entity/text/news/tweet/38994,1203tid014,1203tid026,"The ""Southern Ocean Whale Sanctuary"" is an area designated as a ""no hunt zone"" ONLY AFTER the IWC whaling moratorium is lifted. #Tweet4Taiji",World’s whaling slaughter last century = 3 million  
775702925,1717403623,29849805,true,1,1,2,2,3,6,4,7,17,,18,,22,,,,,,validated,true,false,false,true,false,false,false,false,entity/text/news/tweet/38818,entity/text/news/tweet/38994,1203tid014,1203tid026,"The ""Southern Ocean Whale Sanctuary"" is an area designated as a ""no hunt zone"" ONLY AFTER the IWC whaling moratorium is lifted. #Tweet4Taiji",World’s whaling slaughter last century = 3 million  
775702925,1717405949,33271440,false,,,,,,,,,,,,,,,,,,,validated,false,false,false,false,true,true,false,false,entity/text/news/tweet/38818,entity/text/news/tweet/38994,1203tid014,1203tid026,"The ""Southern Ocean Whale Sanctuary"" is an area designated as a ""no hunt zone"" ONLY AFTER the IWC whaling moratorium is lifted. #Tweet4Taiji",World’s whaling slaughter last century = 3 million  
775702925,1717410874,6488338,true,1,0,2,1,15,2,3,3,4,4,8,6,13,7,11,5,12,,validated,true,false,false,true,false,false,false,false,entity/text/news/tweet/38818,entity/text/news/tweet/38994,1203tid014,1203tid026,"The ""Southern Ocean Whale Sanctuary"" is an area designated as a ""no hunt zone"" ONLY AFTER the IWC whaling moratorium is lifted. #Tweet4Taiji",World’s whaling slaughter last century = 3 million  
775702925,1717412031,4711962,true,18,1,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,entity/text/news/tweet/38818,entity/text/news/tweet/38994,1203tid014,1203tid026,"The ""Southern Ocean Whale Sanctuary"" is an area designated as a ""no hunt zone"" ONLY AFTER the IWC whaling moratorium is lifted. #Tweet4Taiji",World’s whaling slaughter last century = 3 million  
775702925,1717412938,20113482,true,1,0,2,1,3,2,4,3,7,4,8,6,11,7,13,5,12,,validated,true,false,false,false,false,false,false,true,entity/text/news/tweet/38818,entity/text/news/tweet/38994,1203tid014,1203tid026,"The ""Southern Ocean Whale Sanctuary"" is an area designated as a ""no hunt zone"" ONLY AFTER the IWC whaling moratorium is lifted. #Tweet4Taiji",World’s whaling slaughter last century = 3 million  
775702925,1717418183,19913374,true,18,1,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,entity/text/news/tweet/38818,entity/text/news/tweet/38994,1203tid014,1203tid026,"The ""Southern Ocean Whale Sanctuary"" is an area designated as a ""no hunt zone"" ONLY AFTER the IWC whaling moratorium is lifted. #Tweet4Taiji",World’s whaling slaughter last century = 3 million  
