worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,Novelty_Cosine,Novelty_Worker_Disagreement,spammer,1and2,1or2_3or4or5,4and5,avg_irr50,avg_nov75
33903622,0,14,0,2,0.125,0,0,0.8631431345734639,0.5412541254125413,0,0,0,0,0,0
33793607,0,16,0,0,0,0,1,0.7970937365799536,0.48580441640378547,0,0,0,0,0,0
33761260,3,2,3,8,0.5,0.1875,0,0.38769614232801397,0.1861198738170347,0,0,0,0,0,0
33727304,2,10,2,2,0.125,0.125,0,0.7558817210504849,0.4789156626506024,0,0,0,0,0,0
33725995,0,14,0,2,0.125,0,0,0.7593079429743022,0.46987951807228917,0,0,0,0,0,0
33721948,0,10,0,6,0.375,0,0,0.7648458279006152,0.4819277108433735,0,0,0,0,0,0
33565158,2,6,2,6,0.375,0.125,0,0.6363368536111397,0.39603960396039606,0,0,0,0,0,0
33538351,5,6,5,0,0,0.3125,0,0.4802734388149557,0.277602523659306,0,0,0,0,0,0
33500282,8,0,8,0,0,0.5,0,0.31768475383434647,0.19242902208201892,1,1,0,0,0,0
33467170,0,10,0,6,0.375,0,0,0.7648458279006152,0.4819277108433735,0,0,0,0,0,0
33294824,3,10,3,0,0,0.1875,0,0.611152950521123,0.40594059405940597,0,0,0,0,0,0
33014503,2,0,2,0,0,0.5,0,0.4913584763865274,0.2645161290322581,0,0,0,0,0,0
32987272,0,4,0,0,0,0,1,0.756852233403903,0.47096774193548385,0,0,0,0,0,0
32840743,2,8,2,4,0.25,0.125,0,0.7050456311068125,0.4126506024096386,0,0,0,0,0,0
32799278,0,16,0,0,0,0,1,0.7803563619276725,0.48514851485148514,0,0,0,0,0,0
32338429,0,8,0,0,0,0,1,0.658171063574558,0.4163265306122449,0,0,0,0,0,0
32281591,1,14,1,0,0,0.0625,0,0.6937351625394163,0.42168674698795183,0,0,0,0,0,0
32053642,5,6,5,0,0,0.3125,0,0.5343929380548367,0.38170347003154576,0,0,0,0,0,0
31743852,2,10,2,2,0.125,0.125,0,0.7992970063260939,0.5016501650165016,0,0,0,0,0,0
31613324,0,14,0,2,0.125,0,0,0.7791497995270559,0.47318611987381703,0,0,0,0,0,0
31304413,2,6,2,6,0.375,0.125,0,0.6956584663484097,0.41254125412541254,0,0,0,0,0,0
31184650,0,12,0,4,0.25,0,0,0.8460332384384264,0.5271084337349398,0,0,0,0,0,0
30482004,2,0,2,0,0,0.5,0,0.4913584763865274,0.2645161290322581,0,0,0,0,0,0
30137403,5,6,5,0,0,0.3125,0,0.5160318417732792,0.2555205047318612,0,0,0,0,0,0
29849805,2,2,2,2,0.25,0.25,0,0.5512921043926046,0.363265306122449,0,0,0,0,0,0
29155723,4,8,4,0,0,0.25,0,0.6915264313365587,0.4227129337539432,0,0,0,0,0,0
29096504,0,10,0,6,0.375,0,0,0.48159643148495446,0.2921686746987952,0,0,0,0,0,0
28884030,0,0,0,16,1,0,1,0.18972632594827898,0.12302839116719243,1,1,0,0,0,0
28103910,0,12,0,4,0.25,0,0,0.8460332384384264,0.5271084337349398,0,0,0,0,0,0
25745953,2,0,2,0,0,0.5,0,0.4104620852344336,0.2129032258064516,0,0,0,0,0,0
25257275,4,8,4,0,0,0.25,0,0.6915264313365587,0.4227129337539432,0,0,0,0,0,0
24449707,1,2,1,0,0,0.25,0,0.4238471906609814,0.21935483870967742,0,0,0,0,0,0
23503585,2,0,2,0,0,0.5,0,0.4913584763865274,0.2645161290322581,0,0,0,0,0,0
22535866,8,0,8,0,0,0.5,0,0.21273613924757548,0.14521452145214522,1,1,0,0,0,0
22222103,0,8,0,8,0.5,0,0,0.7832454508382021,0.4939759036144578,0,0,0,0,0,0
22166359,5,4,5,2,0.125,0.3125,0,0.4444114681895833,0.27710843373493976,0,0,0,0,0,0
22141613,0,0,0,4,1,0,1,0.10623201205951555,0.07096774193548387,1,1,0,0,0,0
21665495,0,12,0,4,0.25,0,0,0.8460332384384264,0.5271084337349398,0,0,0,0,0,0
21490235,4,8,4,0,0,0.25,0,0.3626357160158037,0.22397476340694006,1,1,0,0,0,0
20312760,8,0,8,0,0,0.5,0,0.24233325978971548,0.15457413249211358,1,1,0,0,0,0
20113482,3,4,3,6,0.375,0.1875,0,0.5212348841245323,0.3069306930693069,0,0,0,0,0,0
