worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer,manually_checked,1and2,1or2_3or4or5,4and5,avg_irr50
33793607,0,36,0,0,0,0,1,2.92,NONE,0.822251274422705,0.5816784095932803,0,0,0,0,0,0
33761260,16,2,16,2,0.0555555555555556,0.444444444444444,0,4.06,2.5,0.6358517276490667,0.45962432546840115,0,0,0,0,0,0
33565158,5,24,5,2,0.0555555555555556,0.138888888888889,0,3.79,0,0.7686936707300704,0.5496259235410599,0,0,0,0,0,0
33467170,0,36,0,0,0,0,1,1,NONE,0.80904661427874,0.7186311787072244,0,1,0,0,0,0
33330229,12,2,12,0,0,0.461538461538462,0,8.64,0,0.6090956706089647,0.43285628079141253,0,0,0,0,0,0
33271440,0,0,0,36,1,0,1,NONE,NONE,0.06613522900994474,0.0570342205323194,1,1,1,0,0,0
32424428,14,6,14,2,0.0555555555555556,0.388888888888889,0,4,2.5,0.616181131393963,0.4571192045773385,0,0,0,0,0,0
32292681,0,36,0,0,0,0,1,1,NONE,0.8127935172619215,0.7272727272727273,0,2,0,0,0,0
31906954,0,36,0,0,0,0,1,1,NONE,0.8038684913859413,0.7157794676806084,0,2,0,0,0,0
31861996,1,34,1,0,0,0.0277777777777778,0,1,0,0.5643593425636826,0.4862689393939394,0,2,0,0,0,0
31304413,17,0,17,0,0,0.5,0,2.29,1.18,0.718577530157108,0.5875592147077047,0,0,0,0,0,0
31256687,0,32,0,4,0.111111111111111,0,0,1.34,NONE,0.6552208194817422,0.5299253677595923,0,0,0,0,0,0
31184650,0,26,0,0,0,0,1,1.15,NONE,0.7944022265887898,0.7018289275736085,0,2,0,0,0,0
30901412,18,0,18,0,0,0.5,0,3.5,0,0.6234195744698439,0.4832437567665947,0,0,0,0,0,0
30779198,1,0,1,2,0.5,0.25,0,4,0,0.32410879046023267,0.3056030795551754,1,1,1,0,0,0
29849805,17,2,17,0,0,0.472222222222222,0,5.63,4,0.7332609828132385,0.4746263684662884,0,0,0,0,0,0
29155723,0,26,0,0,0,0,1,3.88,NONE,0.8666478539658526,0.5735039843648928,0,0,0,0,0,0
29096504,0,22,0,0,0,0,1,2.14,NONE,0.8375509583482963,0.6314489682782117,0,0,0,0,0,0
28513920,1,10,1,0,0,0.0833333333333333,0,1.09,1,0.7946640963773299,0.7003541865647883,0,2,0,0,0,0
28351359,17,2,17,0,0,0.472222222222222,0,2.53,0,0.6122775938795969,0.5116994085459995,0,0,0,0,0,0
28103910,6,24,6,0,0,0.166666666666667,0,1.43,1.17,0.8140616678445822,0.7016702404059818,0,0,0,0,0,0
27934334,8,10,8,0,0,0.307692307692308,0,5.67,0,0.7124719536081064,0.5002140894731196,0,0,0,0,0,0
25257275,0,26,0,0,0,0,1,1,NONE,0.816060676592687,0.7335106382978723,0,1,0,0,0,0
24449707,16,4,16,0,0,0.444444444444444,0,3,2.25,0.7265068471642833,0.5191947353965147,0,0,0,0,0,0
24043308,1,6,1,0,0,0.125,0,5.29,2,0.7574946617214818,0.5061367348526096,0,0,0,0,0,0
23503585,0,36,0,0,0,0,1,7.25,NONE,0.8287184186268926,0.5081132758107367,0,0,0,0,0,0
22388850,10,10,10,6,0.166666666666667,0.277777777777778,0,3.1,0,0.5101332432447233,0.4245394834955093,0,0,0,0,0,0
22166359,17,0,17,0,0,0.5,0,3.88,2.06,0.673640516343092,0.4653875826565106,0,0,0,0,0,0
21613169,0,26,0,0,0,0,1,1.96,NONE,0.8213834687678445,0.6351063829787233,0,0,0,0,0,0
21490235,13,0,13,0,0,0.5,0,1.77,1.08,0.6941225177532326,0.5834081196581197,0,0,0,0,0,0
20113482,12,4,12,8,0.222222222222222,0.333333333333333,0,7.38,4.83,0.7067191741659615,0.4594136241646086,0,0,0,0,0,0
20043586,14,8,14,0,0,0.388888888888889,0,3.73,3,0.5831383273712036,0.45179335257270903,0,0,0,0,0,0
19913374,0,36,0,0,0,0,1,1,NONE,0.8127935172619215,0.7272727272727273,0,2,0,0,0,0
19498096,0,34,0,2,0.0555555555555556,0,0,1.79,NONE,0.8255113589857614,0.6439681991012789,0,0,0,0,0,0
18990100,17,2,17,0,0,0.472222222222222,0,6.63,4.94,0.7513868267577509,0.4720255158394842,0,0,0,0,0,0
17950689,0,26,0,0,0,0,1,1.12,NONE,0.7920991864949973,0.6900241779497098,0,2,0,0,0,0
15577915,13,0,13,0,0,0.5,0,3,0,0.5714455662216722,0.4956409398738626,0,0,0,0,0,0
15439740,2,22,2,0,0,0.0769230769230769,0,5.08,5,0.8034100976719283,0.520819345320133,0,0,0,0,0,0
14321493,0,36,0,0,0,0,1,2.03,NONE,0.8076491655924216,0.6293115098973776,0,0,0,0,0,0
14086483,0,30,0,6,0.166666666666667,0,0,1.53,NONE,0.5158979783816208,0.4295620448923092,0,0,0,0,0,0
13581319,13,0,13,0,0,0.5,0,3,0,0.5926127475115879,0.5033199478597258,0,0,0,0,0,0
11382239,4,2,4,0,0,0.4,0,3.17,4,0.7612791019611098,0.5212179023629538,0,0,0,0,0,0
8260660,3,30,3,0,0,0.0833333333333333,0,2.94,0,0.778854132007406,0.5670613065415815,0,0,0,0,0,0
7051387,6,10,6,6,0.214285714285714,0.214285714285714,0,6.56,4.17,0.7842620406119529,0.5080906611539157,0,0,0,0,0,0
4711962,0,36,0,0,0,0,1,1,NONE,0.7981688338534578,0.7121212121212122,0,1,0,0,0,0
4688131,18,0,18,0,0,0.5,0,2.44,0,0.4702254664418159,0.40312198194532295,1,0,1,0,0,0
3587109,0,36,0,0,0,0,1,1.58,NONE,0.8227142045038763,0.6648816255238206,0,0,0,0,0,0
2143114,18,0,18,0,0,0.5,0,1,0,0.5541257020360002,0.5127840909090908,0,1,0,0,0,0
